mean_intensity,std_intensity,max_intensity,min_intensity,signal_range,concentration,log_concentration,serotype,sensor_model,sensor_unit,test_id,n_peaks,max_peak_height,low_freq_mean,low_freq_std,mid_freq_mean,mid_freq_std,high_freq_mean,high_freq_std
127.78181818181821,274.4725854014458,1220.38,0.0,1220.38,130.0,2.113943352306837,SE,07-7-12,S11,13,5,1220.38,253.47095238095235,350.50576793575857,218.31000000000006,363.3120835223257,21.028571428571425,48.254109998272874
151.4025974025974,304.47383511610605,1365.5,0.0,1365.5,130.0,2.113943352306837,SE,07-7-12,S11,14,7,1365.5,323.23809523809524,371.6637022852405,248.97916666666666,402.9728281912028,31.123376623376622,48.3054510007993
165.9805194805195,330.6844643893552,1478.5,0.0,1478.5,1020.0,3.0086001717619175,SE,07-7-12,S11,13,5,1478.5,348.35714285714283,403.03301421126497,278.88194444444446,435.031380517668,30.207792207792206,56.30340758351367
154.30844155844156,321.5014093540165,1477.25,0.0,1477.25,1020.0,3.0086001717619175,SE,07-7-12,S11,14,6,1477.25,296.2797619047619,388.2377355342992,263.93402777777777,438.0896898773498,38.967532467532465,58.58289097245461
125.10064935064935,238.13181371467684,1109.25,0.0,1109.25,1.0,0.0,ST+SE,07-7-12,S11,9,4,1109.25,227.79761904761904,291.11510384177467,220.92361111111111,316.2476109892442,33.19805194805195,32.864448523055636
130.9348917748918,241.25011455549662,1140.88,0.0,1140.88,1.0,0.0,ST+SE,07-7-12,S11,10,8,1140.88,241.2514285714286,289.7571264464959,231.62944444444454,318.59433356145735,35.23636363636364,36.52531486158467
130.8332467532468,273.4439958573071,1283.88,0.0,1283.88,13.0,1.1139433523068367,ST+SE,07-7-12,S11,9,6,1283.88,233.57428571428568,332.61426442755015,247.28611111111118,365.6859724870035,17.6961038961039,37.095807308714946
139.15904761904764,264.8654254211156,1196.38,0.0,1196.38,13.0,1.1139433523068367,ST+SE,07-7-12,S11,10,7,1196.38,247.23857142857136,327.82785832384235,253.52166666666673,346.4820181120515,33.19662337662338,46.2421346519583
166.38311688311688,335.46586602674336,1535.75,0.0,1535.75,105.0,2.0211892990699383,ST+SE,07-7-12,S11,9,7,1535.75,336.5238095238095,406.36072047799144,280.12847222222223,449.20288195269893,36.91558441558441,60.56531049245986
159.94259740259736,324.52773117482366,1465.62,0.0,1465.62,105.0,2.0211892990699383,ST+SE,07-7-12,S11,10,6,1465.62,291.9395238095238,404.5326442649143,267.82749999999993,438.62216303426925,47.324675324675326,76.92442092070304
155.90995670995667,327.24566854355396,1486.62,0.0,1486.62,1090.0,3.037426497940624,ST+SE,07-7-12,S11,9,7,1486.62,306.3023809523809,407.0236781974467,268.3658333333333,436.30559045285753,37.33142857142857,64.28778482091262
174.22402597402598,334.83909503438394,1548.75,0.0,1548.75,1090.0,3.037426497940624,ST+SE,07-7-12,S11,10,6,1548.75,328.73809523809524,417.1013171722766,303.12847222222223,438.8579322630114,38.324675324675326,63.033606076635465
52.74458874458875,123.61043979250566,895.0,0.0,895.0,1.0,0.0,ST,07-7-12,S12,1,13,895.0,125.47619047619048,255.49375522097623,42.541666666666664,62.68615333105426,35.077922077922075,49.96798097737157
52.74458874458875,123.61043979250566,895.0,0.0,895.0,1.0,0.0,ST,07-7-12,S12,2,13,895.0,125.47619047619048,255.49375522097623,42.541666666666664,62.68615333105426,35.077922077922075,49.96798097737157
54.63238095238094,124.16757479066749,932.12,0.0,932.12,1.0,0.0,ST,07-7-12,S12,5,13,932.12,143.66666666666666,245.16457705237488,50.99111111111111,79.2817266944554,22.438441558441557,37.514279430739755
65.597316017316,135.5191088894165,1021.62,0.0,1021.62,1.0,0.0,ST,07-7-12,S12,6,12,1021.62,175.14238095238093,273.63550731035934,43.031666666666666,68.07612175188727,41.407792207792205,36.968765918910684
60.15584415584416,123.1753297531013,887.5,0.0,887.5,1.0,0.0,ST,07-7-12,S12,11,11,887.5,131.42857142857142,244.29084859544574,62.49305555555556,81.41685828430008,37.29220779220779,48.81972873037571
46.3008658008658,122.62002406736305,922.5,0.0,922.5,1.0,0.0,ST,07-7-12,S12,12,12,922.5,131.71428571428572,257.65430288648076,30.381944444444443,53.540190839294034,28.532467532467532,30.80029280329046
92.45108225108227,148.01675483184312,925.88,0.0,925.88,1.0,0.0,ST,07-7-12,S12,15,12,925.88,226.4238095238095,260.42456179378996,102.86166666666665,90.67058029237242,40.41090909090909,73.0718914846713
114.41774891774892,142.03973191523446,830.5,0.0,830.5,1.0,0.0,ST,07-7-12,S12,16,15,830.5,199.48809523809524,246.26182563084873,109.38194444444444,121.96127268566865,88.22727272727273,79.5372389078315
59.13095238095238,136.42718989879444,1015.25,0.0,1015.25,8.0,0.9030899869919435,ST,07-7-12,S12,1,11,1015.25,142.58928571428572,281.72789990979777,55.892361111111114,73.15351801924376,34.925324675324674,45.44439775409339
62.14043290043291,136.79031685744346,1042.88,0.0,1042.88,8.0,0.9030899869919435,ST,07-7-12,S12,2,11,1042.88,140.99904761904762,282.0906543227475,71.03166666666667,77.12678362785381,33.46493506493507,41.113125424110486
83.55952380952381,156.86310613124172,1159.75,0.0,1159.75,8.0,0.9030899869919435,ST,07-7-12,S12,5,11,1159.75,166.24404761904762,307.5386904041856,104.27083333333333,116.45596114161211,45.08766233766234,45.548457253475654
79.92965367965368,153.99867591453457,1121.25,0.0,1121.25,8.0,0.9030899869919435,ST,07-7-12,S12,6,12,1121.25,183.6547619047619,312.72863518238705,63.201388888888886,88.88930419824852,50.577922077922075,43.009725186488986
73.8495670995671,166.96185063334727,1259.75,0.0,1259.75,75.0,1.8750612633917,ST,07-7-12,S12,1,11,1259.75,189.41071428571428,342.7606534302996,73.02777777777777,82.57073520157365,34.50974025974026,51.762780615760896
73.2943722943723,164.1659753344353,1206.5,0.0,1206.5,75.0,1.8750612633917,ST,07-7-12,S12,2,12,1206.5,196.39285714285714,332.98581650965053,70.64583333333333,86.69144026933814,31.318181818181817,43.383813269894475
82.01406926406926,168.8792252271167,1276.25,0.0,1276.25,860.0,2.934498451243568,ST,07-7-12,S12,1,10,1276.25,180.91071428571428,349.7225848773558,90.78819444444444,76.90226097179004,52.00974025974026,65.87716631345778
78.20606060606059,180.37429942762074,1321.12,0.0,1321.12,860.0,2.934498451243568,ST,07-7-12,S12,2,12,1321.12,201.6552380952381,375.28605947259365,57.89944444444445,67.86730549570179,52.37298701298701,73.02672115579382
89.0645887445887,190.74864046352644,1429.62,0.0,1429.62,65.0,1.8129133566428555,ST,07-7-12,S12,5,13,1429.62,233.1095238095238,385.15979084105544,79.58333333333333,97.37531058287368,46.7903896103896,62.54597790262981
